Molecule|Datafile|Disp2 (CCD)|Disp20|Disp21|Disp22 (S) (CCD)|Disp22 (SDQ)|Disp22 (T)|Disp22 (T) (CCD)|Dispersion|Electrostatics|Elst10,r|Elst12,r|Est. Disp22 (T)|Exch-Disp20|Exch-Ind20,r|Exch-Ind22|Exch10|Exch10(S^2)|Exch11(S^2)|Exch12(S^2)|Exchange|Ind20,r|Induction|InteractionEnergy|delta HF,r (2)|delta MP2,r (2)
water#fluoride|0720|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.22265|-5.162|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.060517|N/A|-1.684|-7.008|N/A|N/A
water#fluoride|0721|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.284963|-19.434|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0915768|N/A|-1.967|-21.594|N/A|N/A
water#fluoride|0722|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.253657|-18.800|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0743831|N/A|-1.838|-20.817|N/A|N/A
water#fluoride|0723|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-9.210|-60.755|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|25.673|N/A|-22.205|-66.497|N/A|N/A
water#fluoride|0724|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-7.378|-53.427|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|17.936|N/A|-18.214|-61.083|N/A|N/A
water#fluoride|0725|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-5.916|-47.473|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|12.577|N/A|-15.097|-55.909|N/A|N/A
water#fluoride|0726|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-4.928|-43.320|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|9.383|N/A|-13.006|-51.871|N/A|N/A
water#fluoride|0727|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.962|-39.095|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|6.623|N/A|-10.964|-47.398|N/A|N/A
water#fluoride|0728|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.190|-35.526|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|4.693|N/A|-9.319|-43.342|N/A|N/A
water#fluoride|0729|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-2.573|-32.475|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|3.337|N/A|-7.979|-39.689|N/A|N/A
water#fluoride|0730|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-2.153|-30.251|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|2.518|N/A|-7.046|-36.933|N/A|N/A
water#fluoride|0731|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.742|-27.898|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|1.801|N/A|-6.103|-33.941|N/A|N/A
